id,community_id,asin,title,group,avg_rating,label,rating,degree,degree_centrality
56,11,1550416243, Three Bricks Shy of a Load: A Collection of True Stories About Ordinary People Doing Really Dumb Stuff!, Book,0, Three Bricks Shy of a Load: A Collection of True Stories About Ordinary People Doing Really Dumb Stuff!,0,36,0.00360036
60,35,393971694," Renaissance Music: Music in Western Europe, 1400-1600 (Norton Introduction to Music History)", Book,5," Renaissance Music: Music in Western Europe, 1400-1600 (Norton Introduction to Music History)",5,33,0.00330033
61,35,1550373080, Hermanos (Hablemos), Book,0, Hermanos (Hablemos),0,18,0.00180018
62,35,26879077, Scoring High on the Stanford Achievement Test, Book,0, Scoring High on the Stanford Achievement Test,0,7,0.00070007
63,12,966723821, Historia De Cancer De Una Dietista : Informacion & Inspiracion para la Recuperacion & Curacion Sobreviviente de tres canceres, Book,5, Historia De Cancer De Una Dietista : Informacion & Inspiracion para la Recuperacion & Curacion Sobreviviente de tres canceres,5,33,0.00330033
65,12,273651870, Economics for Business, Book,0, Economics for Business,0,4,0.00040004
67,12,1571515429, Picture Me With My Friend Jesus: Girl Version (Picture Me), Book,5, Picture Me With My Friend Jesus: Girl Version (Picture Me),5,5,0.00050005
68,7,810114275, Experiencing and the Creation of Meaning: A Philosophical and Psychological Approach to the Subjective (Studies in Phenomenology and Existential Philosophy), Book,5, Experiencing and the Creation of Meaning: A Philosophical and Psychological Approach to the Subjective (Studies in Phenomenology and Existential Philosophy),5,12,0.00120012
69,7,415925398," Negotiated Empires: Centers and Peripheries in the New World, 1500-1820", Book,0," Negotiated Empires: Centers and Peripheries in the New World, 1500-1820",0,4,0.00040004
70,7,415223954, Geographies of Young People: The Morally Contested Spaces of Identity (Critical Geographies), Book,0, Geographies of Young People: The Morally Contested Spaces of Identity (Critical Geographies),0,5,0.00050005
71,7, B0000060T5, Jonny Quest - Bandit in Adventures Best Friend, Video,5, Jonny Quest - Bandit in Adventures Best Friend,5,7,0.00070007
72,7, 157281196X, Power of Flowers: An Archetypal Journey Through Nature, Book,5, Power of Flowers: An Archetypal Journey Through Nature,5,4,0.00040004
73,1,375803394, The Perfect Plan (7th Heaven), Book,4, The Perfect Plan (7th Heaven),4,6,0.00060006
74,1,113300174, Service Delivery (It Infrastructure Library Series), Book,4, Service Delivery (It Infrastructure Library Series),4,5,0.00050005
75,1,786863919, Disney A to Z : The Updated Official Encyclopedia (Disney a to Z), Book,4.5, Disney A to Z : The Updated Official Encyclopedia (Disney a to Z),4.5,7,0.00070007
76,5,1581150040, The Writer's Legal Guide (2nd ed), Book,3.5, The Writer's Legal Guide (2nd ed),3.5,43,0.00430043
77,5,312982178, Water Touching Stone, Book,4.5, Water Touching Stone,4.5,23,0.00230023
78,5,874850037, The Ebony Cookbook: A Date With a Dish, Book,4.5, The Ebony Cookbook: A Date With a Dish,4.5,52,0.00520052
79,5,811726371, Today's Military Wife: Meeting the Challenges of Service Life (Today's Military Wife), Book,4.5, Today's Military Wife: Meeting the Challenges of Service Life (Today's Military Wife),4.5,6,0.00060006
80,13,1884997015, In Quest of God: The Saga of an Extraordinary Pilgrimage, Book,5, In Quest of God: The Saga of an Extraordinary Pilgrimage,5,17,0.00170017
81,5,6304286961, The Doors, Video,4, The Doors,4,37,0.00370037
82,5,140430407," Puddnhead Wilson : And, Those Extraordinary Twins (The Penguin English Library)", Book,5," Puddnhead Wilson : And, Those Extraordinary Twins (The Penguin English Library)",5,14,0.00140014
83,4, 059516630X, A Candle for Bobby, Book,0, A Candle for Bobby,0,8,0.00080008
84,4, B000063W82, The Best of Schoolhouse Rock! - 30th Anniversary Edition, Video,4.5, The Best of Schoolhouse Rock! - 30th Anniversary Edition,4.5,10,0.0010001
85,4,912500476, Amamantar Sencillo y Puro, Book,0, Amamantar Sencillo y Puro,0,6,0.00060006
89,10, B00005ARCQ, Desde Que Samba E Samba, Music,0, Desde Que Samba E Samba,0,4,0.00040004
93,11,965740056, BizPricerÈ©?Business Valuation Manual w/Software, Book,0, BizPricerÈ©?Business Valuation Manual w/Software,0,96,0.00960096
94,11, 039572774X, The American Heritage Dictionary of Idioms, Book,4, The American Heritage Dictionary of Idioms,4,37,0.00370037
95,11,887402631," The Heavy Flak Guns, 1933-1945: 88Mm, 105Mm, 128Mm, 150Mm, and Ballistic Directional Equipment", Book,0," The Heavy Flak Guns, 1933-1945: 88Mm, 105Mm, 128Mm, 150Mm, and Ballistic Directional Equipment",0,52,0.00520052
96,11,310485002, Becoming a Contagious Christian, Book,4, Becoming a Contagious Christian,4,11,0.00110011
97,12, 042515517X, Year of the Tiger, Book,4, Year of the Tiger,4,88,0.00880088
98,12, B0000646IJ, Brahms: Violin Concerto; Double Concerto, Music,4.5, Brahms: Violin Concerto; Double Concerto,4.5,15,0.00150015
99,12,71402306, An Employee's Guide to Stock Options, Book,0, An Employee's Guide to Stock Options,0,189,0.01890189
100,12,787958743, Guide to Effective Staff Development in Health Care Organizations : A Systems Approach to Successful Training (J-B AHA Press), Book,0, Guide to Effective Staff Development in Health Care Organizations : A Systems Approach to Successful Training (J-B AHA Press),0,27,0.00270027
101,12,743509315, Separation Of Power, Book,4, Separation Of Power,4,4,0.00040004
102,7,1858685486, Mensa Visual Brainteasers, Book,4.5, Mensa Visual Brainteasers,4.5,6,0.00060006
103,7,151803870, Selected Essays, Book,4.5, Selected Essays,4.5,7,0.00070007
104,7,820451576," Owning Culture: Authorship, Ownership, and Intellectual Property Law (Popular Culture and Everyday Life, Vol. 1)", Book,0," Owning Culture: Authorship, Ownership, and Intellectual Property Law (Popular Culture and Everyday Life, Vol. 1)",0,5,0.00050005
105,7,1555919332," Learning in Overdrive: Designing Curriculum, Instruction, and Assessment from Standards : A Manual for Teachers", Book,2.5," Learning in Overdrive: Designing Curriculum, Instruction, and Assessment from Standards : A Manual for Teachers",2.5,6,0.00060006
107,7, 038548125X, Mothers and Daughters, Book,4, Mothers and Daughters,4,6,0.00060006
108,1,838531377, General Ophthalmology, Book,4, General Ophthalmology,4,10,0.0010001
109,1,471346608, Baby Basics : A Guide for New Parents, Book,5, Baby Basics : A Guide for New Parents,5,7,0.00070007
110,1,684868008, Casanova in Bohemia : A Novel, Book,4, Casanova in Bohemia : A Novel,4,5,0.00050005
111,5,736805656, The Maine Coon Cat (Learning About Cats), Book,0, The Maine Coon Cat (Learning About Cats),0,19,0.00190019
112,5,1572315938, Official Microsoft Image Composer Book, Book,5, Official Microsoft Image Composer Book,5,14,0.00140014
113,5,736625801, Jesus: A Life, Book,0, Jesus: A Life,0,16,0.00160016
115,5,533139317, Growing Millionaire Kids, Book,5, Growing Millionaire Kids,5,4,0.00040004
116,11,820112518, The Life of Benjamin West, Book,0, The Life of Benjamin West,0,7,0.00070007
117,11,380819546, Site Unseen : An Emma Fielding Mystery (Emma Fielding Mysteries), Book,4.5, Site Unseen : An Emma Fielding Mystery (Emma Fielding Mysteries),4.5,11,0.00110011
118,10,590464272, The Magic School Bus At The Waterworks : (autobus Magico Viaja Por...) (Magic School Bus), Book,5, The Magic School Bus At The Waterworks : (autobus Magico Viaja Por...) (Magic School Bus),5,6,0.00060006
119,12,849943221," Black Friday (Soul Survivor Series, Bk. 4)", Book,5," Black Friday (Soul Survivor Series, Bk. 4)",5,7,0.00070007
120,7,140445684, Capital : A Critique of Political Economy (Penguin Classics), Book,4, Capital : A Critique of Political Economy (Penguin Classics),4,17,0.00170017
121,5,688060676, Ten Black Dots, Book,5, Ten Black Dots,5,26,0.00260026
123,1, 059047913X, You Can Name 100 Dinosaurs!, Book,5, You Can Name 100 Dinosaurs!,5,6,0.00060006
124,1, B0000060TP, Dink the Little Dinosaur: Shyler's Friend, Video,4.5, Dink the Little Dinosaur: Shyler's Friend,4.5,12,0.00120012
125,1, 076453243X, AdobeÂ∫?InDesignÈ©?Bible, Book,3, AdobeÂ∫?InDesignÈ©?Bible,3,11,0.00110011
126,1,395530377, Houghton Mifflin Mathematics: Practice Activity Level 7, Book,0, Houghton Mifflin Mathematics: Practice Activity Level 7,0,10,0.0010001
127,1,878301534, Ballroom Dancing, Book,5, Ballroom Dancing,5,9,0.00090009
128,5,312871880, Irish Stew!, Book,4, Irish Stew!,4,7,0.00070007
129,5,1579473024, Cpt 2003: Current Procedural Terminology (Cpt / Current Procedural Terminology (Standard Edition)), Book,3.5, Cpt 2003: Current Procedural Terminology (Cpt / Current Procedural Terminology (Standard Edition)),3.5,5,0.00050005
130,5,767905288," The O'Reilly Factor: The Good, the Bad, and the Completely Ridiculous in American Life", Book,3.5," The O'Reilly Factor: The Good, the Bad, and the Completely Ridiculous in American Life",3.5,6,0.00060006
131,12, 078795893X," The 2R Manager: When to Relate, When to Require, and How to Do Both Effectively", Book,5," The 2R Manager: When to Relate, When to Require, and How to Do Both Effectively",5,5,0.00050005
135,1,609608363, Wondrous Contrivances : Technology at the Threshold, Book,5, Wondrous Contrivances : Technology at the Threshold,5,7,0.00070007
136,1,452011604," Understanding Islam: An Introduction to the Muslim World, Third Revised and Updated Edition", Book,3.5," Understanding Islam: An Introduction to the Muslim World, Third Revised and Updated Edition",3.5,5,0.00050005
137,14,781433525, Apples of Gold: A Six-Week Nurturing Program for Women, Book,5, Apples of Gold: A Six-Week Nurturing Program for Women,5,19,0.00190019
138,15, B00003Q5AA, The McClurkin Project, Music,4, The McClurkin Project,4,42,0.00420042
139,1,824518659, The Sacred Impulse, Book,3, The Sacred Impulse,3,21,0.00210021
140,5,786710772, Power & Greed: A Short History of the World, Book,3.5, Power & Greed: A Short History of the World,3.5,5,0.00050005
141,5,1886110867, Coach K: Building the Duke Dynasty : Building the Duke Dynasty, Book,2, Coach K: Building the Duke Dynasty : Building the Duke Dynasty,2,5,0.00050005
142,5,590108859, Chemical Chaos (Horrible Science), Book,4.5, Chemical Chaos (Horrible Science),4.5,6,0.00060006
143,9, 080784991X, Ghosts from the Coast, Book,3.5, Ghosts from the Coast,3.5,48,0.00480048
144,9,195044193, The Paradox of Change: American Women in the 20th Century, Book,0, The Paradox of Change: American Women in the 20th Century,0,7,0.00070007
145,9,1581127723, The Bases of Chemical Thermodynamics: Volume 1, Book,5, The Bases of Chemical Thermodynamics: Volume 1,5,5,0.00050005
146,9,806626062, More Prime Time Activities With Kids, Book,4, More Prime Time Activities With Kids,4,6,0.00060006
147,9,743202554," The New Jewish Wedding, Revised", Book,4.5," The New Jewish Wedding, Revised",4.5,8,0.00080008
148,16,812550749, Firebird, Book,4, Firebird,4,13,0.00130013
149,16, B00000IC80, Pot O' Gold/Made for Each Other, DVD,0, Pot O' Gold/Made for Each Other,0,11,0.00110011
150,10,764118218, Vocabulary Builder: French : Mastering the Most Common French Words and Phrases (Vocabulary Builder Series), Book,0, Vocabulary Builder: French : Mastering the Most Common French Words and Phrases (Vocabulary Builder Series),0,7,0.00070007
151,11, B00000IC82, Laurel & Hardy - Flying Deuces/Utopia, DVD,3, Laurel & Hardy - Flying Deuces/Utopia,3,31,0.00310031
152,4, B00000IC86," NASA, Pt. 1 & 2", DVD,0," NASA, Pt. 1 & 2",0,27,0.00270027
153,4, B00000IC83," Life of Jesus, Vol. 1-2", DVD,4," Life of Jesus, Vol. 1-2",4,5,0.00050005
154,4,140272100, Vanished, Book,4, Vanished,4,49,0.00490049
155,4,939343347, Cowboy Mentality & the Big One That Got Away, Book,0, Cowboy Mentality & the Big One That Got Away,0,25,0.00250025
156,10,970911300, Parrot Heads in Paradise, Video,3.5, Parrot Heads in Paradise,3.5,8,0.00080008
157,10,842374043, What about Spiritual Warfare?, Book,5, What about Spiritual Warfare?,5,5,0.00050005
158,10, B00000IC89, John Wayne 2 Pack (The Man from Utah / The Star Packer / Sagebrush Trail / Riders of Destiny), DVD,3, John Wayne 2 Pack (The Man from Utah / The Star Packer / Sagebrush Trail / Riders of Destiny),3,16,0.00160016
159,35,553487388, The Icicle Forest (Fairy School), Book,0, The Icicle Forest (Fairy School),0,19,0.00190019
160,18,804119368, The Twisted Root (William Monk Novels (Paperback)), Book,4, The Twisted Root (William Monk Novels (Paperback)),4,45,0.00450045
161,18,890541795, Foliage Plant Diseases: Diagnosis & Control, Book,5, Foliage Plant Diseases: Diagnosis & Control,5,23,0.00230023
162,35,810939770, Wildlife the Nature Paintings of Carl Brenders, Book,5, Wildlife the Nature Paintings of Carl Brenders,5,19,0.00190019
163,35,931892813, Messages to Our Family, Book,3, Messages to Our Family,3,13,0.00130013
164,5,895296586, What's Really Wrong With You: A Revolutionary Look at How Muscles Affect Your Health, Book,3.5, What's Really Wrong With You: A Revolutionary Look at How Muscles Affect Your Health,3.5,22,0.00220022
165,4,807842109, Passage of Darkness: The Ethnobiology of the Haitian Zombie, Book,4.5, Passage of Darkness: The Ethnobiology of the Haitian Zombie,4.5,8,0.00080008
167,4,385332998, Total Immersion, Book,3.5, Total Immersion,3.5,15,0.00150015
168,4,1560799501, Peterson's Toefl Word Flash: The Quick Way to Build Vocabulary Power (Toefl Flash Series), Book,4, Peterson's Toefl Word Flash: The Quick Way to Build Vocabulary Power (Toefl Flash Series),4,5,0.00050005
169,4, B00000IBNZ," Clamp School Detectives, Vol. 1: Eps 1-4", Video,4," Clamp School Detectives, Vol. 1: Eps 1-4",4,4,0.00040004
170,4,471394327, Lafayette, Book,5, Lafayette,5,4,0.00040004
173,5,838514944, Current Diagnosis & Treatment in Infectious Diseases, Book,4, Current Diagnosis & Treatment in Infectious Diseases,4,4,0.00040004
174,11,415276322, Science and Poetry, Book,4.5, Science and Poetry,4.5,11,0.00110011
175,12,792378946, Assessment and Prediction of Speech Quality in Telecommunications, Book,0, Assessment and Prediction of Speech Quality in Telecommunications,0,6,0.00060006
176,12, B00000IC8Z," Avengers '67 - Set 1, Vols. 1 & 2", DVD,5," Avengers '67 - Set 1, Vols. 1 & 2",5,86,0.00860086
177,12,299183106, Cracked Sidewalks and French Pastry: The Wit and Wisdom of Al McGuire, Book,4.5, Cracked Sidewalks and French Pastry: The Wit and Wisdom of Al McGuire,4.5,6,0.00060006
178,7,1858600073, They Walked With Jesus: Past Life Experience With Christ, Book,5, They Walked With Jesus: Past Life Experience With Christ,5,6,0.00060006
179,7, B00000IC8F, Africa Screams/Jack & The Bean, DVD,3.5, Africa Screams/Jack & The Bean,3.5,5,0.00050005
180,1, B00000IC8N, Barney: Sing and Dance with Barney, Video,5, Barney: Sing and Dance with Barney,5,5,0.00050005
181,5,788194607, Legacy: The Search for Ancient Cultures, Book,4, Legacy: The Search for Ancient Cultures,4,10,0.0010001
182,5, B00000IC8L," W.C. Fields, Vol. 1 & 2", DVD,1.5," W.C. Fields, Vol. 1 & 2",1.5,7,0.00070007
183,5,486276716, Funny Teddy Bear Stickers (Dover Little Activity Books), Book,0, Funny Teddy Bear Stickers (Dover Little Activity Books),0,8,0.00080008
187,5,768907152, Words for Smart Test Takers (Academic Test Preparation Series), Book,5, Words for Smart Test Takers (Academic Test Preparation Series),5,5,0.00050005
193,5,1573229326, How to Be Good, Book,3, How to Be Good,3,24,0.00240024
196,1,916990419, Modeling With Nlp, Book,0, Modeling With Nlp,0,6,0.00060006
197,20,439288487, Health & Safety (Fresh & Fun), Book,0, Health & Safety (Fresh & Fun),0,5,0.00050005
198,5,883680947, Imitation of Christ, Book,4.5, Imitation of Christ,4.5,5,0.00050005
199,5,671562711, My Life with the Chimpanzees, Book,4.5, My Life with the Chimpanzees,4.5,5,0.00050005
201,5,1584230169, Bareback: A Tomato Project, Book,4, Bareback: A Tomato Project,4,8,0.00080008
202,5,811820289, The Go Go Dogs, Book,4.5, The Go Go Dogs,4.5,13,0.00130013
204,10,792369696, Mathematics Education and Language : Interpreting Hermeneutics and Post-Structuralism (Mathematics Education Library), Book,0, Mathematics Education and Language : Interpreting Hermeneutics and Post-Structuralism (Mathematics Education Library),0,9,0.00090009
206,10,937065889, What to Say When You Talk to Yourself About Selling, Book,5, What to Say When You Talk to Yourself About Selling,5,5,0.00050005
208,4, B000000HFH," What's on Your Mind (Pure Energy) [Tommy Boy CD5/12"")", Music,5," What's on Your Mind (Pure Energy) [Tommy Boy CD5/12"")",5,6,0.00060006
209,4,738841617, MOST GREATLY LIVED, Book,5, MOST GREATLY LIVED,5,5,0.00050005
210,16, 158715837X," Farewell, Nikola", Book,0," Farewell, Nikola",0,71,0.00710071
213,4, B000000HFB, Running, Music,3.5, Running,3.5,10,0.0010001
218,12,66210887, The Justification of Johann Gutenberg: A Novel, Book,3.5, The Justification of Johann Gutenberg: A Novel,3.5,5,0.00050005
219,5,1402701179, Fantasy Origami, Book,0, Fantasy Origami,0,3,0.00030003
223,50,816514828, Risky Rivers: The Economics and Politics of Floodplain Farming in Amazonia (Arizona Studies in Human Ecology), Book,0, Risky Rivers: The Economics and Politics of Floodplain Farming in Amazonia (Arizona Studies in Human Ecology),0,15,0.00150015
224,11,440415713, Junebug and the Reverend, Book,5, Junebug and the Reverend,5,9,0.00090009
226,22,9500421690, Presentimientos, Book,0, Presentimientos,0,5,0.00050005
228,23,1928936180, Hollywood Agents & Managers Directory (Hollywood Representation Directory), Book,5, Hollywood Agents & Managers Directory (Hollywood Representation Directory),5,29,0.00290029
229,20,6304733542, Bob Newhart - Button Down Concert - Off the Record, Video,5, Bob Newhart - Button Down Concert - Off the Record,5,3,0.00030003
230,20,374523096, Half Slave and Half Free : The Roots of Civil War (American Century Series), Book,4, Half Slave and Half Free : The Roots of Civil War (American Century Series),4,6,0.00060006
231,20, B000003ONN, George Morgan - 14 Greatest Hits, Music,4, George Morgan - 14 Greatest Hits,4,25,0.00250025
232,5,1893441695, Review of Veterinary Physiology (The Quick Look Series in Veterinary Medicine), Book,4, Review of Veterinary Physiology (The Quick Look Series in Veterinary Medicine),4,6,0.00060006
233,10,1571882588," Steelhead Dreams: The Theory, Method, Science and Madness of Great Lakes Steelhead Fly Fishing", Book,4.5," Steelhead Dreams: The Theory, Method, Science and Madness of Great Lakes Steelhead Fly Fishing",4.5,5,0.00050005
234,10, B000003ONH, Adults Only, Music,3.5, Adults Only,3.5,13,0.00130013
235,5,769218261, Dream Theater: Falling into Infinity (Authentic Guitar-Tab), Book,4.5, Dream Theater: Falling into Infinity (Authentic Guitar-Tab),4.5,4,0.00040004
237,5,1589490002, Introduction to General Relativity, Book,0, Introduction to General Relativity,0,11,0.00110011
238,50,1893990060, Process Optimization in Home Healthcare, Book,0, Process Optimization in Home Healthcare,0,32,0.00320032
239,50, B000003ONP, Johnny Bush - 14 Greatest Hits, Music,5, Johnny Bush - 14 Greatest Hits,5,6,0.00060006
240,50,824799372, Clathrate Hydrates of Natural Gases (Chemical Industries), Book,5, Clathrate Hydrates of Natural Gases (Chemical Industries),5,11,0.00110011
241,22, 014023778X, Unsettling America : An Anthology of Contemporary Multicultural Poetry, Book,5, Unsettling America : An Anthology of Contemporary Multicultural Poetry,5,20,0.0020002
243,11,962520713, The Heart Hospital: A Reality of the Future, Book,0, The Heart Hospital: A Reality of the Future,0,12,0.00120012
244,22,962096733, Phonics Pathways, Book,4.5, Phonics Pathways,4.5,32,0.00320032
246,10, B000000HF0, One More Night, Music,5, One More Night,5,5,0.00050005
247,10,1568543115, The Color of Light: Commissioning Stained Glass for a Church, Book,0, The Color of Light: Commissioning Stained Glass for a Church,0,4,0.00040004
248,10,312862156, Starlight (Starlight (Tor Paperback)), Book,4, Starlight (Starlight (Tor Paperback)),4,10,0.0010001
249,50,446389862, Homeschooling for Excellence, Book,4, Homeschooling for Excellence,4,9,0.00090009
250,22,811810984, 52 Fun Things to Do on the Plane (52 Series), Book,4, 52 Fun Things to Do on the Plane (52 Series),4,45,0.00450045
251,22,6301045734, The Glass Menagerie, Video,5, The Glass Menagerie,5,10,0.0010001
252,22, B0000262WI, The KÊûöln Concert, Music,4.5, The KÊûöln Concert,4.5,20,0.0020002
254,5,6301967917, Electra Glide in Blue, Video,4, Electra Glide in Blue,4,3,0.00030003
258,10,660179687, Hosanna, Book,3.5, Hosanna,3.5,3,0.00030003
269,5,140437983, Memoirs of General W.T. Sherman (Penguin Classics), Book,4.5, Memoirs of General W.T. Sherman (Penguin Classics),4.5,8,0.00080008
274,4,694524980, Ernest Hemingway Audio Collection CD, Book,2, Ernest Hemingway Audio Collection CD,2,17,0.00170017
275,4, 093314993X, Activity Schedules for Children With Autism: Teaching Independent Behavior (Topics in Autism), Book,4.5, Activity Schedules for Children With Autism: Teaching Independent Behavior (Topics in Autism),4.5,7,0.00070007
276,4, 046502968X, The Right to Vote: The Contested History of Democracy in the United States, Book,4.5, The Right to Vote: The Contested History of Democracy in the United States,4.5,9,0.00090009
277,4,28642406, The Complete Idiot's Guide to 401(k) Plans (2nd Edition), Book,5, The Complete Idiot's Guide to 401(k) Plans (2nd Edition),5,5,0.00050005
278,4,761537678, Medal Of Honor: Frontline : Prima's Official Strategy Guide, Book,4, Medal Of Honor: Frontline : Prima's Official Strategy Guide,4,7,0.00070007
282,1,786807695, Son of the Mob (Son of the Mob (Hardcover)), Book,4.5, Son of the Mob (Son of the Mob (Hardcover)),4.5,3,0.00030003
283,5,1586481053, A Good Fight, Book,3.5, A Good Fight,3.5,4,0.00040004
284,5,916562514, Brazil, Book,5, Brazil,5,15,0.00150015
285,5,399522719, The Vegetarian Child, Book,3.5, The Vegetarian Child,3.5,26,0.00260026
286,5, B00004T42Y, Goodnight Sweetheart, Music,0, Goodnight Sweetheart,0,6,0.00060006
287,5,1575849100, Going To God'S House (First Bible Collection), Book,5, Going To God'S House (First Bible Collection),5,4,0.00040004
288,5,446312193, Unnatural Causes, Book,3.5, Unnatural Causes,3.5,8,0.00080008
289,5, B00005LAPA, Bad Boys Best 2001, Music,0, Bad Boys Best 2001,0,1,0.00010001
290,5,970009844," The Best of Famous Monsters of Filmland, Vol. #1", Book,3.5," The Best of Famous Monsters of Filmland, Vol. #1",3.5,26,0.00260026
291,5,201634562, The Java FAQ, Book,4.5, The Java FAQ,4.5,7,0.00070007
