id,in_degree,out_degree,total_degree,in_deg_cent,out_deg_cent,clustering,pagerank,hub_score,auth_score,betweenness,k_core
26773,5,5,10,0.0005000500050005,0.0005000500050005,0.4,6.903106486490175e-05,2.904863900024522e-07,9.586464563145317e-06,0.001155019433763641,4
26775,4,5,9,0.00040004000400040005,0.0005000500050005,0.5,6.144089930345082e-05,1.8092111063356746e-05,7.492284745973784e-06,0.00027837047799429124,4
33968,4,5,9,0.00040004000400040005,0.0005000500050005,0.14285714285714285,5.3960387841385023e-05,4.0440517660611234e-05,1.9116991595468956e-07,0.0007778906323986197,4
7,34,5,39,0.0034003400340034003,0.0005000500050005,0.057057057057057055,0.0044401107669797485,0.0005055327086791882,0.0024838984495627833,0.0041858538222516945,5
16,6,5,11,0.0006000600060006001,0.0005000500050005,0.5714285714285714,0.00016805599912512645,1.661834561914038e-05,2.611563591307376e-05,0.0,5
17,21,5,26,0.0021002100210021,0.0005000500050005,0.09,0.0003275116638159301,0.0005298619795837305,8.239738500785203e-05,8.943322451713033e-05,5
18,172,5,177,0.017201720172017203,0.0005000500050005,0.00947708025272214,0.006404520023406709,0.0019537096828947846,0.007014853394626733,0.06953285715260772,5
19,15,5,20,0.0015001500150015003,0.0005000500050005,0.26666666666666666,0.00022786654521628178,4.871066965182691e-07,3.445568973778908e-05,0.001797346833840882,5
6,98,5,103,0.0098009800980098,0.0005000500050005,0.013069306930693069,0.004086740985679359,0.0005202651357550566,0.004501780259322837,0.002701900613902604,5
8,293,5,298,0.029302930293029304,0.0005000500050005,0.0038021071919377004,0.0184354435847668,3.890417292575693e-05,0.07297482368629161,0.017715797959706767,5
9,20,0,20,0.002000200020002,0.0,0.07368421052631578,0.0032350097746121445,-0.0,0.0013199612683023026,0.0,5
10,34,5,39,0.0034003400340034003,0.0005000500050005,0.05396825396825397,0.0013935024430594216,4.070682715998929e-05,0.0004679231129264563,0.007885724426822243,5
20,48,5,53,0.004800480048004801,0.0005000500050005,0.03764705882352941,0.007180669980766765,0.0005393835664227444,0.002675999309310516,0.002909895542529231,5
30,50,5,55,0.005000500050005001,0.0005000500050005,0.03695324283559578,0.004350980957487927,0.0004857382799697596,0.0016397085084307384,0.004638668510286558,5
290,24,5,29,0.0024002400240024004,0.0005000500050005,0.11384615384615385,0.0018182564626516328,0.0005056818595193975,0.001244562923576538,0.002451182199662539,5
21,58,5,63,0.005800580058005801,0.0005000500050005,0.03172924378635643,0.008433961670381462,2.6878140080249903e-05,0.0017359708763613846,0.025061964305708073,5
22,27,3,30,0.0027002700270027003,0.00030003000300030005,0.06084656084656084,0.004422119707076495,0.000496490884833978,0.0009169961154472842,0.001286908860410595,5
23,43,5,48,0.004300430043004301,0.0005000500050005,0.06342494714587738,0.011308082535440769,0.0005064395239071518,0.0017150118841578789,0.020800953799163125,5
24,11,2,13,0.0011001100110011,0.00020002000200020003,0.09090909090909091,0.004892620950088521,8.509802932775653e-06,0.0007872890993522937,0.00018005401260270056,4
137,16,5,21,0.0016001600160016002,0.0005000500050005,0.10526315789473684,0.00048077041312517127,4.8739021794440495e-05,8.603115470843553e-05,0.008234704661580784,5
138,42,0,42,0.0042004200420042,0.0,0.017421602787456445,0.0013168634075261744,-0.0,0.002745659561629944,0.0,5
139,18,5,23,0.0018001800180018003,0.0005000500050005,0.10476190476190476,0.000518320775487743,3.408727381912712e-05,6.470602904149013e-05,0.0007442762664761494,5
229387,0,1,1,0.0,0.00010001000100010001,0.0,1.735882280264563e-05,1.461212672877561e-06,-1.9336162359991946e-19,0.0,1
29922,36,5,41,0.0036003600360036006,0.0005000500050005,0.02275960170697013,0.0006194446257601541,1.0292103630577343e-05,0.00022570442809094696,0.0007247628689108703,4
140,5,4,9,0.0005000500050005,0.00040004000400040005,0.9,0.002131298857274469,5.827128537660844e-06,3.4293635813241485e-05,0.0001961421720621089,5
141,4,4,8,0.00040004000400040005,0.00040004000400040005,0.7,0.002084151186083226,1.6972237132147644e-05,2.3084410277684525e-05,7.54392969469648e-05,5
27,41,5,46,0.004100410041004101,0.0005000500050005,0.024154589371980676,0.0011603885914906226,2.023895101811951e-05,0.00029387775440914464,0.004071426966071955,5
28,40,5,45,0.004000400040004,0.0005000500050005,0.04065040650406504,0.0031189435628971385,2.0192050272401418e-05,0.00046378444355003455,0.016427366626538077,5
29,16,5,21,0.0016001600160016002,0.0005000500050005,0.25,0.0005656724406420118,1.459695846231948e-06,0.0008164255634281584,0.0010803240756162033,5
68,12,0,12,0.0012001200120012002,0.0,0.09090909090909091,0.00047638465944720013,-0.0,2.6881065962909367e-06,0.0,4
69,3,4,7,0.00030003000300030005,0.00040004000400040005,0.5,0.00016469160787019123,2.415889147159851e-05,4.472407869661349e-06,0.0006017401510639072,4
70,4,5,9,0.00040004000400040005,0.0005000500050005,0.4,0.0001669983456460912,5.474027510811701e-06,3.79634501295803e-06,0.001323023322875733,4
71,6,5,11,0.0006000600060006001,0.0005000500050005,0.3333333333333333,0.00017069647883609094,5.493428533450096e-06,2.4236479680974875e-06,0.0007758876090099205,4
72,4,4,8,0.00040004000400040005,0.00040004000400040005,0.8333333333333334,0.00018133515900734383,5.566159704389568e-06,1.4134351868738265e-05,0.00040562167839108376,4
73,4,5,9,0.00040004000400040005,0.0005000500050005,0.5333333333333333,0.00010463910613886613,6.617902728272857e-07,7.378669724344269e-06,6.823807636488469e-05,5
75,6,5,11,0.0006000600060006001,0.0005000500050005,0.7619047619047619,0.00011322243870157211,6.187805705830831e-07,7.590127201454575e-06,0.00036210862534543113,5
31,11,5,16,0.0011001100110011,0.0005000500050005,0.2727272727272727,0.0002659739796690676,1.0051755425105241e-05,0.0002442716203290935,0.0008071389753212075,4
32,34,5,39,0.0034003400340034003,0.0005000500050005,0.06306306306306306,0.002104168394967346,4.9379688126163604e-05,0.0012593569127108883,0.05189165528826829,5
33,361,5,366,0.036103610361036105,0.0005000500050005,0.003668021247127224,0.011589694404320065,0.00106358855771487,0.29608897681182594,0.0006870122121057287,5
34,103,5,108,0.010301030103010301,0.0005000500050005,0.015567765567765568,0.002803470258409787,5.7496877617828995e-05,0.002436546230483931,0.013128589910209912,5
35,32,5,37,0.0032003200320032004,0.0005000500050005,0.11229946524064172,0.0023579095366123657,0.002149803306220273,0.0010013494986489434,0.009700457785120605,5
36,19,5,24,0.0019001900190019003,0.0005000500050005,0.13157894736842105,0.0015272831631662504,4.9945650542256434e-05,0.0009911468437380892,0.015260195272989906,5
74,3,5,8,0.00030003000300030005,0.0005000500050005,0.7,8.35111487261912e-05,6.591984490982502e-07,5.464157060724538e-07,0.0011314575023520527,4
77,22,5,27,0.0022002200220022,0.0005000500050005,0.039525691699604744,0.0023768292248447305,3.1041599659939574e-06,9.29054529024229e-05,0.01050855086855299,5
164,20,5,25,0.002000200020002,0.0005000500050005,0.06060606060606061,0.0024457379165074454,0.0004947011683144912,0.0010259797420446436,0.004681275745363778,5
32789,1,3,4,0.00010001000100010001,0.00030003000300030005,0.0,2.4740193372079678e-05,3.8370885875468834e-05,4.362581966888861e-08,0.0,3
97,87,5,92,0.008700870087008702,0.0005000500050005,0.00522466039707419,0.002397110413692992,0.0004929769498152956,0.005562354781137753,0.004547865182420304,5
784,11,5,16,0.0011001100110011,0.0005000500050005,0.0761904761904762,0.0008959369142138224,0.0006195781748962596,0.000320232616399637,0.000520993726671653,5
111,18,5,23,0.0018001800180018003,0.0005000500050005,0.1286549707602339,0.0031963706862240707,2.7857244546886546e-05,0.0014944335531212804,0.0014853851336721184,5
142,4,4,8,0.00040004000400040005,0.00040004000400040005,0.3333333333333333,0.002049891255243091,2.9216776013728404e-05,0.00022728750437971,0.01952646852630952,4
37,49,5,54,0.0049004900490049,0.0005000500050005,0.02262443438914027,0.0017038904553473469,0.0005269768304642085,0.0020000216240829535,0.0019629541027627157,5
40,19,3,22,0.0019001900190019003,0.00030003000300030005,0.042105263157894736,0.002913262216092046,0.0004802260164458278,0.0008990448911378,8.335833916791692e-07,4
42,5,3,8,0.0005000500050005,0.00030003000300030005,0.4,0.0028483007641788055,0.00048335706433310814,0.0004154114092762688,0.0,4
32790,1,4,5,0.00010001000100010001,0.00040004000400040005,0.2,2.2279736515601662e-05,2.054478318574835e-05,1.6767076680081146e-06,0.0,4
152,24,5,29,0.0024002400240024004,0.0005000500050005,0.07407407407407407,0.0005010012437560116,7.484353066218889e-05,0.00021930344398977502,0.007558244460416723,4
5913,36,5,41,0.0036003600360036006,0.0005000500050005,0.08571428571428572,0.00107193782094935,4.86449107737571e-06,0.0004953765860724679,0.0035067920665962497,4
7872,6,3,9,0.0006000600060006001,0.00030003000300030005,0.17857142857142858,0.0002270059943977479,7.634338999510946e-06,2.2198542881044535e-05,9.502850665142529e-06,4
76,42,5,47,0.0042004200420042,0.0005000500050005,0.05647840531561462,0.0018290935081173843,9.914214982915026e-07,0.00014568429391956814,0.0034867898027231693,5
78,49,5,54,0.0049004900490049,0.0005000500050005,0.03695324283559578,0.0020531334705686617,4.545839352106237e-05,0.00029760668236258317,0.002560649707070736,5
79,2,5,7,0.00020002000200020003,0.0005000500050005,0.13333333333333333,0.0005481106232727477,1.7691331891199904e-05,9.157712286809749e-06,0.00020571312849350918,5
80,15,5,20,0.0015001500150015003,0.0005000500050005,0.051470588235294115,0.0010764073972696878,0.0005146022211798721,4.489507596853489e-05,0.01981861579286661,5
81,34,5,39,0.0034003400340034003,0.0005000500050005,0.046546546546546545,0.0012026208240661352,3.5348686481643524e-06,0.00011818287345226386,0.0009897499929525187,5
82,13,5,18,0.0013001300130013002,0.0005000500050005,0.07692307692307693,0.0012353800858339035,8.682115164492666e-06,0.00027070537442869534,0.0010107475560652284,5
32796,1,5,6,0.00010001000100010001,0.0005000500050005,0.1,3.755950847126495e-05,7.640768470237368e-07,-4.8298464487770365e-20,0.0,3
311,7,5,12,0.0007000700070007,0.0005000500050005,0.32142857142857145,0.0001836303200094464,4.786104086632143e-05,0.00011671844405830536,0.00663171122907231,4
1909,5,5,10,0.0005000500050005,0.0005000500050005,0.2777777777777778,0.00016023710634869442,8.260832505660361e-08,3.846054616403729e-07,0.009881475709033858,4
27405,1,1,2,0.00010001000100010001,0.00010001000100010001,0.0,2.3751591438252753e-05,-3.126847310307052e-22,3.046059108160245e-07,0.0,1
31086,3,2,5,0.00030003000300030005,0.00020002000200020003,0.6666666666666666,0.00013055920112886682,1.994423380169018e-09,3.072690160528756e-07,0.0,3
38508,3,1,4,0.00030003000300030005,0.00010001000100010001,0.6666666666666666,0.00010054084833435092,1.9892626123319264e-09,3.0727107343801847e-07,0.0,3
48,11,5,16,0.0011001100110011,0.0005000500050005,0.3090909090909091,0.001654056512015941,1.4385722264793799e-05,0.0002555354016965388,0.0021581593831028075,5
49,12,5,17,0.0012001200120012002,0.0005000500050005,0.23076923076923078,0.0015874211740865248,1.4230455065488697e-05,0.00027951855970695236,0.0020566786229053694,5
50,2,4,6,0.00020002000200020003,0.00040004000400040005,0.6666666666666666,0.0007771452064339031,2.1024800280354423e-05,0.00019913032128304834,0.0002441604852262865,4
143,47,5,52,0.0047004700470047005,0.0005000500050005,0.03280141843971631,0.0011637109581462588,5.533099186073408e-06,0.00018723229932093703,1.2003600840180037e-05,5
144,4,5,9,0.00040004000400040005,0.0005000500050005,0.6666666666666666,0.00033563898445560425,6.6929327470087475e-06,8.080027094830623e-06,0.0,5
145,4,4,8,0.00040004000400040005,0.00040004000400040005,0.9,0.00039101664422631205,6.6392348824357705e-06,8.110049732770535e-06,9.102730637136528e-05,5
146,3,5,8,0.00030003000300030005,0.0005000500050005,0.7333333333333333,0.0003663699575800438,6.7118715621427835e-06,5.455934951614545e-06,0.0004551365318568264,5
147,8,1,9,0.0008000800080008001,0.00010001000100010001,0.5357142857142857,0.0008480230603646165,2.761739698958823e-22,1.659182221843437e-05,9.102730637136528e-05,5
83,6,4,10,0.0006000600060006001,0.00040004000400040005,0.17857142857142858,0.00018673118057150944,2.716905538900402e-06,3.622271779334967e-05,9.685148852298878e-05,4
84,9,4,13,0.0009000900090009002,0.00040004000400040005,0.17777777777777778,0.000438268799355765,5.393937368147521e-05,0.00010464659917384239,0.003777109405134667,4
85,4,5,9,0.00040004000400040005,0.0005000500050005,0.4666666666666667,8.239086551231732e-05,2.18260012209746e-06,9.40413567452556e-06,0.0004526357816817889,4
56,35,5,40,0.0035003500350035003,0.0005000500050005,0.11904761904761904,0.006522896514691147,0.002757608216059631,0.027047873089817123,0.0001969625156302666,5
93,95,4,99,0.009500950095009501,0.00040004000400040005,0.02456140350877193,0.007058258425116104,0.0026121495861070082,0.04625067134915756,7.340010180827075e-05,5
94,37,0,37,0.0037003700370037006,0.0,0.14114114114114115,0.006921506672794511,-0.0,0.03562346591854926,0.0,5
95,51,5,56,0.0051005100510051,0.0005000500050005,0.07993966817496229,0.0060629509312800575,0.0026475413895250014,0.04472217469177444,4.3053739706286155e-05,5
151,29,4,33,0.0029002900290029006,0.00040004000400040005,0.12903225806451613,0.0038106632968724196,0.00033925870727284917,0.010641720485839893,0.00045225962266556114,5
51,40,5,45,0.004000400040004,0.0005000500050005,0.06155632984901278,0.0014359147528505095,7.166638609097987e-05,0.0003250706753374658,0.002430219295364037,5
52,12,5,17,0.0012001200120012002,0.0005000500050005,0.3939393939393939,0.000736110007824702,1.6658123125386987e-05,9.272972006121302e-05,0.0005520422499857991,5
53,64,5,69,0.006400640064006401,0.0005000500050005,0.05673076923076923,0.0017551797337681215,1.6035503133241116e-05,0.00018917416557661366,0.011931955957511408,5
54,32,5,37,0.0032003200320032004,0.0005000500050005,0.1350806451612903,0.0016974713743169725,1.1225488924063257e-05,0.001049960846705008,0.010075100892597147,5
55,2,3,5,0.00020002000200020003,0.00030003000300030005,1.0,0.0004242496499240107,1.4504918616122353e-05,0.0008650738103248723,0.0,4
153,3,5,8,0.00030003000300030005,0.0005000500050005,1.0,0.0003095446489126857,5.325494542206439e-05,6.247414766146255e-05,0.00018105431267271556,5
154,44,5,49,0.0044004400440044,0.0005000500050005,0.02295918367346939,0.001216330637682837,7.852882106493419e-05,0.0002837161560163862,0.003022094527368668,5
155,23,5,28,0.0023002300230023005,0.0005000500050005,0.09,0.0006537260049020436,5.403287462859591e-05,0.00013444667281162201,0.008791362099359549,5
269,4,5,9,0.00040004000400040005,0.0005000500050005,0.2857142857142857,0.0003166997394297832,4.2665327489233444e-05,0.0002296450274076778,9.845533905320765e-05,5
148,9,5,14,0.0009000900090009002,0.0005000500050005,0.08974358974358974,0.0005089752862840418,0.0001277807258633499,0.00012298261522268155,0.003269878668266298,5
149,8,4,12,0.0008000800080008001,0.00040004000400040005,0.01818181818181818,0.000908845344871599,1.1349481386723661e-05,0.00011636655721966801,0.05346801528929266,5
150,6,3,9,0.0006000600060006001,0.00030003000300030005,0.047619047619047616,0.0008059481408545463,5.291912211571081e-05,4.809988040989311e-05,0.012649772846342564,4
229413,0,1,1,0.0,0.00010001000100010001,0.0,1.735882280264563e-05,0.0019168829290422944,1.5434605717193644e-19,0.0,1
65578,1,5,6,0.00010001000100010001,0.0005000500050005,1.0,2.0916592189736217e-05,1.5815793559919175e-07,6.305104285463715e-08,0.0,5
5002,10,5,15,0.001000100010001,0.0005000500050005,0.32727272727272727,0.0001312253713223391,4.839515621299051e-07,2.2843936431679278e-05,0.0,5
9167,7,5,12,0.0007000700070007,0.0005000500050005,0.8095238095238095,0.00011128818509754156,1.5731158266779645e-07,5.720384431295417e-07,0.0,5
9169,7,5,12,0.0007000700070007,0.0005000500050005,0.8095238095238095,0.00011128818509754156,1.573115826677969e-07,5.720384431294755e-07,0.0,5
13668,6,5,11,0.0006000600060006001,0.0005000500050005,0.8095238095238095,9.208954466839289e-05,1.5856385521995047e-07,3.7860769520062757e-07,0.0,5
63989,1,5,6,0.00010001000100010001,0.0005000500050005,1.0,2.0916592189736217e-05,1.581579355991927e-07,6.305104285449059e-08,0.0,5
163887,1,5,6,0.00010001000100010001,0.0005000500050005,0.3,2.6046352520812455e-05,6.012001256367024e-06,6.077476527771519e-07,0.0,4
27233,27,5,32,0.0027002700270027003,0.0005000500050005,0.06157635467980296,0.0003227654938364781,9.804442286154122e-06,0.0002283036311985697,0.002263168758688922,4
132953,4,4,8,0.00040004000400040005,0.00040004000400040005,0.6,4.14586025195946e-05,1.5207318102958634e-06,6.565707298850234e-06,0.0,4
157455,2,3,5,0.00020002000200020003,0.00030003000300030005,1.0,3.061775606083164e-05,1.5244809566443343e-06,3.0029898506169107e-06,0.0,3
179542,4,5,9,0.00040004000400040005,0.0005000500050005,0.14285714285714285,5.401211043930751e-05,6.357606283798069e-06,0.0001953875054773364,0.0,4
156,6,5,11,0.0006000600060006001,0.0005000500050005,0.42857142857142855,0.0006873436244734146,1.4372714925843593e-05,2.1944139864245804e-05,0.0005829804761472282,5
157,4,3,7,0.00040004000400040005,0.00030003000300030005,0.4,0.0005659843043284125,1.4079433479877493e-05,1.2849352892242251e-05,0.0,5
158,16,4,20,0.0016001600160016002,0.00040004000400040005,0.058333333333333334,0.0015091592007839983,2.2215632479229353e-05,0.00026805243143508694,0.004948895991400317,5
89,1,4,5,0.00010001000100010001,0.00040004000400040005,0.6666666666666666,0.00017761789221102279,1.376242776517601e-05,8.381720325730917e-06,0.00015363332888992877,4
274,16,4,20,0.0016001600160016002,0.00040004000400040005,0.14705882352941177,0.0004722836826724766,1.8193974141833415e-05,7.538796796114837e-05,0.0009722656761025229,5
275,6,5,11,0.0006000600060006001,0.0005000500050005,0.7619047619047619,0.00030514230737015927,1.7170923122343557e-05,4.120027620804358e-05,2.986729292386471e-05,5
276,8,4,12,0.0008000800080008001,0.00040004000400040005,0.5555555555555556,0.0002693562885702935,1.686347937518232e-05,5.417277736197845e-05,2.9783934584696795e-05,5
277,1,5,6,0.00010001000100010001,0.0005000500050005,0.9,0.0001424757228847507,1.7215462946703786e-05,6.640906326185274e-06,0.0,5
278,5,5,10,0.0005000500050005,0.0005000500050005,0.47619047619047616,0.0002531461846827385,1.816056031393082e-05,3.451642117145987e-05,0.00013645925006414942,5
60,33,5,38,0.0033003300330033004,0.0005000500050005,0.07575757575757576,0.0014223544663443267,2.5693044888972696e-05,0.0003840135503568761,0.018751546106511002,5
61,16,5,21,0.0016001600160016002,0.0005000500050005,0.2222222222222222,0.00045708283197113856,8.493469942693688e-06,3.045087209143976e-05,0.0002733314750503667,5
62,3,5,8,0.00030003000300030005,0.0005000500050005,0.5714285714285714,0.0003301537976992615,1.734546259949182e-05,1.1129608281010981e-05,3.6767745094889077e-06,5
163894,0,3,3,0.0,0.00030003000300030005,0.3333333333333333,1.735882280264563e-05,0.0001062655940976994,-7.888810480630012e-20,0.0,3
481,275,5,280,0.027502750275027504,0.0005000500050005,0.011038100927200478,0.01008402218866655,8.674377813865844e-05,0.01621390454679168,0.052710759086205865,5
10726,11,5,16,0.0011001100110011,0.0005000500050005,0.1523809523809524,7.522319523159042e-05,0.00013698134723288534,0.00015780684415749656,0.0009370764118723092,5
87459,2,2,4,0.00020002000200020003,0.00020002000200020003,0.16666666666666666,4.144431819721968e-05,1.3404117241927259e-05,4.247361220517685e-05,7.552143621160736e-05,3
159,16,5,21,0.0016001600160016002,0.0005000500050005,0.1286549707602339,0.0008377301122213057,4.297510066234353e-05,5.474760134530837e-05,0.0028764399855899523,5
96,8,5,13,0.0008000800080008001,0.0005000500050005,0.2545454545454545,0.0014018112384510944,0.0026424222736853823,0.0032652910843525714,9.269447315472362e-05,5
65593,4,5,9,0.00040004000400040005,0.0005000500050005,0.23809523809523808,4.535458784543568e-05,1.7558813540824581e-06,0.000779220061297595,0.00036997842091059655,5
1026,22,5,27,0.0022002200220022,0.0005000500050005,0.07971014492753623,0.0003549051046749573,4.2395915488304905e-07,2.3895445622688026e-05,0.00500702389479192,5
11519,32,5,37,0.0032003200320032004,0.0005000500050005,0.07575757575757576,0.0009150880702596064,7.71678561614847e-07,0.00022906407215666288,0.008008673428250138,5
11994,26,5,31,0.0026002600260026003,0.0005000500050005,0.1339031339031339,0.0008372501459012395,1.9971704865936333e-06,1.2575800493657523e-05,0.0032756396656271926,5
51538,6,5,11,0.0006000600060006001,0.0005000500050005,0.25,7.707482434939036e-05,6.818258266771383e-06,4.9847497644930795e-06,0.0007842220052703522,5
87569,1,5,6,0.00010001000100010001,0.0005000500050005,0.3,2.5142924998819498e-05,5.227522079247466e-06,6.999974429644711e-07,0.00020750442943738185,5
160,43,5,48,0.004300430043004301,0.0005000500050005,0.029292929292929294,0.0013817540401890854,3.2117275582198836e-05,0.0017662262284197927,0.025400065523472674,5
161,21,5,26,0.0021002100210021,0.0005000500050005,0.08695652173913043,0.0008425979367419547,2.2393442162683292e-05,0.0009085359077696009,0.048055506082098146,5
162,17,5,22,0.0017001700170017002,0.0005000500050005,0.19883040935672514,0.00022415830236844492,8.163504178145101e-06,3.124403260294624e-05,9.019372297968612e-05,5
163,10,5,15,0.001000100010001,0.0005000500050005,0.3076923076923077,0.0001684319628875667,1.0907693070557566e-05,3.54181469065398e-05,0.0,5
63,32,4,36,0.0032003200320032004,0.00040004000400040005,0.08522727272727272,0.002110571988379921,0.0001004649158051858,0.0012719873149147048,0.0032445307617816077,5
98,13,5,18,0.0013001300130013002,0.0005000500050005,0.09523809523809523,0.0009030067517321524,0.0004943711507010602,0.0002457543615101129,0.001826673780930819,5
99,188,5,193,0.018801880188018802,0.0005000500050005,0.006698187549251379,0.004051362361543115,0.0004947628895448464,0.008070372675289192,0.004665826158529652,5
65,1,4,5,0.00010001000100010001,0.00040004000400040005,1.0,2.2046267364960665e-05,6.800736208466119e-05,2.7111729076302987e-05,0.0,4
100,25,5,30,0.0025002500250025004,0.0005000500050005,0.1282051282051282,0.001194435992567539,0.00010081391827196862,0.0011352022752756812,0.0023018589952071627,5
101,1,4,5,0.00010001000100010001,0.00040004000400040005,1.0,2.2046267364960665e-05,6.800736208466118e-05,2.711172907630292e-05,0.0,4
67,2,4,6,0.00020002000200020003,0.00040004000400040005,0.5,0.00010246336388170503,2.1812171410416792e-05,1.3473489846384102e-05,0.0,4
118,4,5,9,0.00040004000400040005,0.0005000500050005,0.4,0.00032270018156180843,2.2549448524262297e-05,0.00021174019036530452,0.0005113561582378158,4
105,5,3,8,0.0005000500050005,0.00030003000300030005,0.5333333333333333,0.00012270381772712646,5.474346359896559e-06,1.9523655570076986e-05,0.0,4
420,4,5,9,0.00040004000400040005,0.0005000500050005,0.5714285714285714,7.078098713277782e-05,0.0024670961809227223,0.0028710341571512275,0.00046619949157687424,5
102,5,5,10,0.0005000500050005,0.0005000500050005,0.5333333333333333,0.00011680543690349112,1.275127666113814e-07,6.672796086799004e-06,0.00022809885912251663,4
103,4,5,9,0.00040004000400040005,0.0005000500050005,0.19047619047619047,0.00015847806481716683,3.7237211919318014e-06,4.456704000515745e-06,0.0011993981179938688,4
421,9,5,14,0.0009000900090009002,0.0005000500050005,0.01098901098901099,9.79586096215837e-05,1.89404115775813e-05,5.0043610491262405e-06,0.0009314940471717436,5
104,4,5,9,0.00040004000400040005,0.0005000500050005,0.7,8.48739213565062e-05,1.3501041329514276e-07,6.628419233848607e-06,0.00045007771470645456,4
107,4,4,8,0.00040004000400040005,0.00040004000400040005,0.6,9.459759684919945e-05,5.6433957825192305e-06,8.792532245308589e-06,0.00027008101890405083,4
108,6,5,11,0.0006000600060006001,0.0005000500050005,0.4222222222222222,0.00011877727373726891,2.8653995278621943e-07,7.495392121293752e-06,0.002097184905328827,5
282,1,3,4,0.00010001000100010001,0.00030003000300030005,0.3333333333333333,3.171032382563342e-05,2.217382515582975e-07,2.6279522115899007e-07,0.0010409303460156946,3
109,4,5,9,0.00040004000400040005,0.0005000500050005,0.7619047619047619,5.521010916965484e-05,6.612818670946399e-07,7.539456720572803e-07,4.526357816817889e-05,5
110,3,5,8,0.00030003000300030005,0.0005000500050005,0.9,4.7134545456404314e-05,2.7473262770767975e-07,6.444211096788507e-07,0.00013579073450453667,5
121,24,5,29,0.0024002400240024004,0.0005000500050005,0.08923076923076922,0.0011152113795854276,1.6893942251912812e-06,4.894238722954215e-05,0.00020179523311137428,5
283,2,4,6,0.00020002000200020003,0.00040004000400040005,0.5,0.00036565592311391473,1.0559711222055696e-06,7.732340873849461e-07,0.00018105431267271556,3
284,14,5,19,0.0014001400140014,0.0005000500050005,0.2761904761904762,0.001290559771306591,2.826034177876434e-06,1.6583049529833922e-05,0.0003392088638946674,5
285,26,5,31,0.0026002600260026003,0.0005000500050005,0.12,0.0014344316996964413,6.725116310948842e-06,7.433403137587893e-05,0.0005791707805166132,5
286,5,4,9,0.0005000500050005,0.00040004000400040005,0.4,0.00043320820800537115,1.1358520483758352e-06,1.2506006756859493e-05,0.0028735207805904404,5
422,3,5,8,0.00030003000300030005,0.0005000500050005,0.0,0.0004818258101790297,6.83828803460424e-07,3.3086415531783934e-06,0.00999194324454768,3
423,4,3,7,0.00040004000400040005,0.00030003000300030005,0.8333333333333334,0.0007911526107886174,6.417944625175366e-07,5.446914713014931e-06,3.0175718778786e-05,4
424,4,4,8,0.00040004000400040005,0.00040004000400040005,0.8333333333333334,0.0008359980532955791,6.515126369870675e-07,5.4430404778548845e-06,3.0175718778786e-05,4
425,2,4,6,0.00020002000200020003,0.00040004000400040005,0.8333333333333334,0.0005856830149766463,6.77057841592818e-07,1.4972316965411848e-06,3.0175718778786e-05,4
112,11,5,16,0.0011001100110011,0.0005000500050005,0.13186813186813187,0.001252109952276611,0.0005035142674252174,0.0010478798737105241,8.432980590442071e-05,5
113,15,5,20,0.0015001500150015003,0.0005000500050005,0.13333333333333333,0.0006345385509381692,1.1754275481091722e-05,8.835052805400511e-05,0.0006451323546425736,5
